"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2017","2","",124100,1934313,1940581,1947225,21652063965,2514433021,36561419,858,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2416,2.0,14272,0.7,18448,1.0,23691,1.2,788721658,3.8,-72676081,-2.8,-5517956,-13.1,23,2.8
"01000","1","10","51","0","2017","2","",1211,53142,53022,53026,1058333042,0,0,1534,"",1.60,1.41,1.41,1.40,1.68,0.00,0.00,1.19,"",23,1.9,279,0.5,-21,0.0,-285,-0.5,83509807,8.6,0,0.0,0,0.0,121,8.6
"01000","2","10","51","0","2017","2","",1378,96584,96713,94937,1252425760,2029,12,1003,"",1.57,1.53,1.55,1.54,1.65,0.00,0.00,1.07,"",35,2.6,1522,1.6,1676,1.8,1483,1.6,70195593,5.9,1915,1679.8,11,1100.0,41,4.3
"01000","3","10","51","0","2017","2","",3718,214051,215161,217330,2156503746,19691298,197860,770,"",1.74,1.10,1.10,1.14,1.04,0.49,0.98,0.94,"",-4,-0.1,989,0.5,1005,0.5,1783,0.8,66681079,3.2,-1016846,-4.9,-31958,-13.9,20,2.7
"01000","5","10","51","0","2017","2","",117793,1570536,1575685,1581932,17184801417,2494739694,36363547,839,"",0.98,0.96,0.96,0.95,0.94,1.02,1.00,0.99,"",2362,2.0,11482,0.7,15788,1.0,20710,1.3,568335179,3.4,-71661150,-2.8,-5486009,-13.1,20,2.4
"01000","8","10","96","0","2017","2","",6307,363777,364896,365293,4467262548,19693327,197872,942,"",1.67,1.23,1.24,1.26,1.29,0.34,0.86,1.04,"",54,0.9,2790,0.8,2660,0.7,2981,0.8,220386479,5.2,-1014931,-4.9,-31947,-13.9,39,4.3
"01001","0","10","70","0","2017","2","",862,10824,10906,11007,97294062,13481235,169419,686,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.2,126,1.2,134,1.2,235,2.2,2437078,2.6,-1187634,-8.1,-25253,-13.0,7,1.0
"01001","1","10","71","0","2017","2","",12,82,86,87,1095754,0,0,992,"",2.28,0.39,0.41,0.41,0.39,0.00,0.00,0.97,"",0,0.0,-1,-1.2,4,4.9,-2,-2.2,162215,17.4,0,0.0,0,0.0,144,17.0
"01001","2","10","71","0","2017","2","",19,583,586,589,5716383,0,0,750,"",3.12,1.65,1.67,1.69,1.67,0.00,0.00,1.00,"",1,5.6,37,6.8,46,8.5,41,7.5,-124110,-2.1,0,0.0,0,0.0,-75,-9.1
"01001","3","10","71","0","2017","2","",32,1922,1939,1963,17004783,11363,67,674,"",2.15,1.76,1.77,1.82,1.83,0.05,0.07,1.03,"",0,0.0,0,0.0,-23,-1.2,11,0.6,75490,0.4,2446,27.4,14,26.4,5,0.7
"01001","5","10","71","0","2017","2","",799,8237,8295,8368,73477142,13469872,169352,681,"",0.96,0.90,0.90,0.89,0.90,1.02,1.01,1.00,"",1,0.1,90,1.1,107,1.3,185,2.3,2323483,3.3,-1190080,-8.1,-25267,-13.0,11,1.6
"01003","0","10","70","0","2017","2","",6027,72377,73432,75160,636973957,123969973,1613320,665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",232,4.0,1842,2.6,1888,2.6,1702,2.3,39496371,6.6,-1877334,-1.5,-250097,-13.4,25,3.9
"01003","1","10","71","0","2017","2","",32,337,345,345,4977794,0,0,1119,"",0.87,0.24,0.24,0.24,0.27,0.00,0.00,1.12,"",0,0.0,4,1.2,9,2.7,-2,-0.6,437415,9.6,0,0.0,0,0.0,88,8.5
"01003","2","10","71","0","2017","2","",38,1159,1189,1208,11157239,0,0,724,"",0.89,0.49,0.50,0.51,0.50,0.00,0.00,1.00,"",4,11.8,59,5.4,16,1.4,86,7.7,538142,5.1,0,0.0,0,0.0,2,0.3
"01003","3","10","71","0","2017","2","",84,7939,8004,8059,79664474,486173,2929,766,"",0.81,1.09,1.09,1.10,1.31,0.24,0.33,1.20,"",0,0.0,123,1.6,153,1.9,134,1.7,4407386,5.9,-30800,-6.0,-304,-9.4,30,4.1
"01003","5","10","71","0","2017","2","",5873,62942,63894,65548,541174450,123483800,1610391,649,"",1.00,1.03,1.03,1.02,1.01,1.02,1.00,0.99,"",228,4.0,1656,2.7,1710,2.7,1484,2.3,34113428,6.7,-1846534,-1.5,-249793,-13.4,25,4.0
"01005","0","10","70","0","2017","2","",556,7993,7990,8017,70812482,10725397,155984,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.8,49,0.6,95,1.2,90,1.1,2608278,3.8,110933,1.0,-24249,-13.5,19,2.9
"01005","1","10","71","0","2017","2","",8,55,51,55,731979,0,0,1049,"",2.36,0.35,0.33,0.35,0.36,0.00,0.00,1.03,"",0,0.0,0,0.0,-4,-7.3,1,1.9,34614,5.0,0,0.0,0,0.0,68,6.9
