"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2019","3","",129709,1985905,1992731,1991119,23768113015,1748979202,22438196,919,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2217,1.7,29277,1.5,28406,1.4,24011,1.2,1194973500,5.3,26974692,1.6,-1511807,-6.3,34,3.8
"01000","1","10","51","0","2019","3","",1260,54091,54696,54799,1166269964,0,0,1645,"",1.63,1.41,1.42,1.44,1.74,0.00,0.00,1.22,"",62,5.2,1137,2.1,1626,3.1,1571,3.0,47660573,4.3,0,0.0,0,0.0,24,1.5
"01000","2","10","51","0","2019","3","",1372,97274,97579,98958,1341178812,23216,614,1053,"",1.55,1.57,1.57,1.57,1.61,0.00,0.02,1.02,"",-4,-0.3,2475,2.6,2219,2.3,2315,2.4,134355224,11.1,20905,904.6,600,4285.7,82,8.4
"01000","3","10","51","0","2019","3","",3709,208571,210797,214945,2336357941,11112913,99244,850,"",1.72,1.25,1.20,1.12,1.19,0.38,0.81,1.01,"",-2,-0.1,1089,0.5,904,0.4,659,0.3,82467620,3.7,324038,3.0,-9863,-9.0,27,3.3
"01000","5","10","51","0","2019","3","",123368,1625969,1629659,1622417,18924306298,1737843073,22338338,895,"",0.98,0.95,0.95,0.96,0.93,1.02,1.00,0.98,"",2161,1.8,24576,1.5,23657,1.5,19466,1.2,930490083,5.2,26629749,1.6,-1502544,-6.3,32,3.7
"01000","8","10","96","0","2019","3","",6341,359936,363072,368702,4843806717,11136129,99858,1024,"",1.66,1.35,1.31,1.26,1.40,0.25,0.63,1.07,"",56,0.9,4701,1.3,4749,1.3,4545,1.2,264483417,5.8,344943,3.2,-9263,-8.5,43,4.4
"01001","0","10","70","0","2019","3","",893,11095,11091,11105,110310757,8425260,100107,765,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,1.9,175,1.6,67,0.6,192,1.8,6873202,6.6,-26590,-0.3,3569,3.7,39,5.4
"01001","1","10","71","0","2019","3","",12,81,85,86,1044247,0,0,956,"",2.26,0.38,0.40,0.40,0.34,0.00,0.00,0.85,"",0,0.0,-3,-3.6,-6,-6.6,-10,-10.4,22393,2.2,0,0.0,0,0.0,86,9.9
"01001","2","10","71","0","2019","3","",19,602,599,590,6925615,0,0,892,"",3.11,1.74,1.74,1.68,1.79,0.00,0.00,1.04,"",0,0.0,35,6.2,32,5.6,18,3.1,993914,16.8,0,0.0,0,0.0,90,11.2
"01001","3","10","71","0","2019","3","",32,1794,1920,1925,18746630,1903,11,767,"",2.15,1.92,1.96,1.80,2.06,0.01,0.02,1.09,"",0,0.0,-4,-0.2,-16,-0.8,0,0.0,691908,3.8,-1959,-50.7,-12,-52.2,31,4.2
